GEOID,State,County,GeoName,2019_affectweather,2019_citizens,2019_fundrenewables,2019_rebates,2019_supportRPS,2020_affectweather,2020_citizens,2020_fundrenewables,2020_rebates,2020_supportRPS,2021_affectweather,2021_citizens,2021_fundrenewables,2021_rebates,2021_supportRPS
1001, Alabama,Autauga County,"Autauga County, Alabama",44.704000000000001,54.808999999999997,77.77,77.150000000000006,53.210999999999999,48.884,54.484000000000002,81.129000000000005,77.799000000000007,55.844000000000001,48.308,56,70.09,72.72,54.536999999999999
1003, Alabama,Baldwin County,"Baldwin County, Alabama",46.877000000000002,56.264000000000003,77.959000000000003,77.260999999999996,53.436999999999998,50.362000000000002,55.890999999999998,81.203000000000003,77.972999999999999,56.750999999999998,49.646999999999998,57.677,71.049000000000007,72.656000000000006,57.097999999999999
1005, Alabama,Barbour County,"Barbour County, Alabama",54.08,60.613999999999997,80.409000000000006,79.132999999999996,58.539000000000001,56.914000000000001,59.911999999999999,83.275999999999996,79.287999999999997,62.07,56.415999999999997,62.023000000000003,74.527000000000001,74.605999999999995,61.707999999999998
1007, Alabama,Bibb County,"Bibb County, Alabama",45.134999999999998,53.976999999999997,77.180999999999997,75.834000000000003,51.825000000000003,48.185000000000002,53.454999999999998,80.28,76.17,54.874000000000002,46.524999999999999,53.945999999999998,68.72,70.103999999999999,54.100999999999999
1009, Alabama,Blount County,"Blount County, Alabama",40.118000000000002,51.817,75.629000000000005,74.463999999999999,49.447000000000003,43.140999999999998,50.558999999999997,78.593000000000004,74.849000000000004,51.302,42.023000000000003,51.878,66.527000000000001,68.974000000000004,51.131
1011, Alabama,Bullock County,"Bullock County, Alabama",60.762999999999998,65.590999999999994,82.405000000000001,80.947999999999993,64.061000000000007,63.69,64.86,85.158000000000001,81.031999999999996,67.418000000000006,63.1,66.441999999999993,77.900999999999996,77.043000000000006,67.08
1013, Alabama,Butler County,"Butler County, Alabama",52.203000000000003,58.61,79.849999999999994,79.034999999999997,57.997,55.668999999999997,58.506,83.105000000000004,79.302999999999997,61.365000000000002,54.201999999999998,59.399000000000001,73.721000000000004,74.504999999999995,60.411000000000001
1015, Alabama,Calhoun County,"Calhoun County, Alabama",48.348999999999997,56.225000000000001,78.448999999999998,77.569000000000003,55.472000000000001,52.578000000000003,55.869,81.753,78.393000000000001,58.555,52.482999999999997,57.789000000000001,71.741,73.53,58.421999999999997
1017, Alabama,Chambers County,"Chambers County, Alabama",50.756999999999998,58.302,78.716999999999999,78.861999999999995,57.322000000000003,54.755000000000003,58.301000000000002,82.42,79.218000000000004,60.478000000000002,54.122999999999998,59.841000000000001,73.453999999999994,74.762,60.305999999999997
1019, Alabama,Cherokee County,"Cherokee County, Alabama",43.201000000000001,52.905000000000001,76.611999999999995,75.334999999999994,49.905999999999999,46.366999999999997,52.515999999999998,79.805000000000007,75.819000000000003,53.055999999999997,45.936999999999998,54.161000000000001,68.058999999999997,69.597999999999999,52.613
1021, Alabama,Chilton County,"Chilton County, Alabama",43.857999999999997,52.533999999999999,77.010999999999996,76.256,51.225000000000001,47.292000000000002,52.097000000000001,79.956000000000003,76.817999999999998,53.82,46.287999999999997,53.167999999999999,67.581999999999994,71.177999999999997,53.155000000000001
1023, Alabama,Choctaw County,"Choctaw County, Alabama",52.204999999999998,59.49,79.861000000000004,79.16,58.295999999999999,56.244999999999997,59.718000000000004,83.2,79.617999999999995,61.545000000000002,53.673000000000002,59.829000000000001,73.052999999999997,74.478999999999999,59.646000000000001
1025, Alabama,Clarke County,"Clarke County, Alabama",50.545999999999999,59.261000000000003,79.450999999999993,78.972999999999999,57.823999999999998,52.796999999999997,57.185000000000002,82.113,78.899000000000001,60.585000000000001,50.512,57.613,71.227999999999994,73.757000000000005,57.277000000000001
1027, Alabama,Clay County,"Clay County, Alabama",43.597999999999999,52.856000000000002,76.497,75.513000000000005,50.99,45.500999999999998,50.853999999999999,78.727000000000004,75.715999999999994,53.146000000000001,45.128,52.902999999999999,67.135000000000005,69.817999999999998,52.777999999999999
1029, Alabama,Cleburne County,"Cleburne County, Alabama",41.07,53.695,76.77,75.802999999999997,52.329000000000001,46.238,52.863,79.501000000000005,76.403000000000006,52.585000000000001,44.459000000000003,52.363999999999997,65.715999999999994,69.933000000000007,50.557000000000002
1031, Alabama,Coffee County,"Coffee County, Alabama",44.98,55.731000000000002,76.852000000000004,76.143000000000001,53.265999999999998,48.417999999999999,54.616,80.103999999999999,76.766000000000005,55.738,47.994,56.076999999999998,69.131,71.835999999999999,55.863999999999997
1033, Alabama,Colbert County,"Colbert County, Alabama",46.619,57.02,78.988,78.596999999999994,55.03,50.177999999999997,55.344000000000001,81.994,78.765000000000001,57.734999999999999,48.237000000000002,55.926000000000002,70.290999999999997,73.283000000000001,54.478999999999999
1035, Alabama,Conecuh County,"Conecuh County, Alabama",50.616,56.948,78.784999999999997,78.873000000000005,57.56,54.71,57.421999999999997,82.558999999999997,79.13,61.527000000000001,54.006,59.115000000000002,73.745000000000005,74.728999999999999,60.802999999999997
1037, Alabama,Coosa County,"Coosa County, Alabama",48.869,57.473999999999997,78.707999999999998,77.546999999999997,55.488999999999997,51.869,56.518999999999998,81.873000000000005,77.988,58.408000000000001,52.005000000000003,58.75,72.085999999999999,72.747,58.142000000000003
1039, Alabama,Covington County,"Covington County, Alabama",42.667000000000002,53.911000000000001,77.274000000000001,75.367000000000004,51.744,45.646000000000001,51.771999999999998,80.013000000000005,75.941000000000003,52.936999999999998,44.473999999999997,52.061999999999998,67.528999999999996,69.820999999999998,51.515000000000001
1041, Alabama,Crenshaw County,"Crenshaw County, Alabama",47.183999999999997,56.515999999999998,78.266000000000005,77.117000000000004,54.082999999999998,51.195,56.444000000000003,81.3,77.771000000000001,57.170999999999999,51.481000000000002,58.427,70.578999999999994,72.337999999999994,56.622999999999998
1043, Alabama,Cullman County,"Cullman County, Alabama",40.500999999999998,50.893000000000001,75.049000000000007,75.463999999999999,49.445999999999998,42.578000000000003,49.22,77.573999999999998,75.542000000000002,51.268000000000001,42.408999999999999,51.100999999999999,65.527000000000001,69.739000000000004,51.198999999999998
1045, Alabama,Dale County,"Dale County, Alabama",45.241999999999997,55.125,78.11,77.230999999999995,53.051000000000002,49.35,54.604999999999997,81.366,77.686000000000007,55.301000000000002,49.588999999999999,56.494,71.352999999999994,72.941000000000003,55.613999999999997
1047, Alabama,Dallas County,"Dallas County, Alabama",59.203000000000003,63.616,81.734999999999999,81.477000000000004,63.905000000000001,62.503,62.997999999999998,84.772000000000006,82.006,67.31,61.097000000000001,63.399000000000001,77.247,78.474000000000004,66.447999999999993
1049, Alabama,DeKalb County,"DeKalb County, Alabama",43.127000000000002,54.055,76.381,75.494,50.664000000000001,47.045999999999999,53.084000000000003,79.537999999999997,76.094999999999999,52.969000000000001,46.831000000000003,55.066000000000003,67.831999999999994,70.349000000000004,52.744
1051, Alabama,Elmore County,"Elmore County, Alabama",45.459000000000003,54.817999999999998,77.034000000000006,76.831000000000003,53.15,49.034999999999997,54.295999999999999,80.424999999999997,77.492000000000004,56.064,49.094000000000001,56.658999999999999,70.543999999999997,72.811000000000007,56.347999999999999
1053, Alabama,Escambia County,"Escambia County, Alabama",45.881,54.581000000000003,77.775999999999996,76.456000000000003,53.673000000000002,49.034999999999997,53.491,81.061000000000007,77.087999999999994,56.137999999999998,48.975999999999999,55.567,70.989000000000004,72.045000000000002,55.725999999999999
1055, Alabama,Etowah County,"Etowah County, Alabama",46.024000000000001,56.015999999999998,78.832999999999998,77.168000000000006,53.668999999999997,50.646999999999998,55.594000000000001,81.986999999999995,77.988,56.59,49.658999999999999,56.439,71.210999999999999,72.677999999999997,55.9
1057, Alabama,Fayette County,"Fayette County, Alabama",42.456000000000003,53.445999999999998,77.123000000000005,75.959999999999994,51.831000000000003,45.009,51.936999999999998,80.078000000000003,76.147000000000006,53.765999999999998,45.018999999999998,53.66,68.816999999999993,70.376000000000005,53.442999999999998
1059, Alabama,Franklin County,"Franklin County, Alabama",44.853000000000002,55.664999999999999,77.605000000000004,76.218999999999994,52.11,47.927999999999997,54.292999999999999,80.459999999999994,76.628,54.317999999999998,47.017000000000003,55.573,68.736999999999995,70.573999999999998,53.509
